"ID","Date","Time","End Time","Track","Title","Chair(s)","Chair Affiliation(s)","Location","End Time","Notes","Web Page","Submission IDs"
"234","May 5, 2012","04:15","04:40","A","","","","19AB","","","",""
"230","May 5, 2012","09:00","17:00","A","Workshops Saturday","","","19AB","","","","wo130 wo107 wo142 wo154 wo117 wo153 wo119 wo113 wo157 wo108 wo147 wo151 wo123 wo139 wo114 wo146 wo152 wo118"
"233","May 6, 2012","09:00","17:00","A","Workshops Sunday","","","19AB","","","","wo150 wo111 wo112 wo109 wo155 wo103 wo148 wo140 wo116 wo106 wo124 wo158 wo137 wo144"
"53","May 6, 2012","14:00","17:00","B","Course 1A: Human-Computer Interaction: Introduction and Overview","Keith Butler, Robert Jacob, David Kieras","","14","17:00","","","cr111"
"227","May 6, 2012","17:30","20:30","B","Course 1B: Supporting Community with Social Media","John M. Carroll, Cliff Lampe","","14","20:30","","","cr151"
"12","May 7, 2012","08:30","10:15","D","Opening Plenary","Ed H. Chi, Kristina Höök","Google, Mobile Life @ KTH, Sweden","Ballroom D","10:15","","","sp112"
"219","May 7, 2012","10:15","11:00","D","Madness","Paul André, Petra Sundström","","Ballroom D","11:00","","",""
"124","May 7, 2012","11:30","12:50","A","Spectators ","Barry Brown","University of California San Diego, USA","19AB","12:50","","","paper1126 paper340 paper1359 to106"
"62","May 7, 2012","11:30","12:50","B","Course 3: Global UX Strategies","Tony Fernandes","","14","12:50","","","cr149"
"67","May 7, 2012","11:30","12:50","C","Course 4: The Role of the UX Professional on an Agile Team","Karen Holtzblatt, Hugh Beyer","","15","12:50","","","cr112"
"14","May 7, 2012","11:30","12:50","D","Invited lecture: Richard Shusterman","Thecla Schiphorst, Jeffrey Bardzell","Simon Fraser University, Canada, Indiana University, US","Ballroom D","12:50","","","sp105"
"118","May 7, 2012","11:30","12:50","E","Curves and Mirages: Gestures and Interaction with Nonplanar Surfaces","Per Ola Kristensson","University of St Andrews, UK","Ballroom E","12:50","","","paper1912 paper209 paper1700 paper396 paper854"
"117","May 7, 2012","11:30","12:50","F","Leveraging the Crowd","Andrea Forte","Drexel University, USA","Ballroom F","12:50","","","paper1959 paper554 paper256 paper1133"
"121","May 7, 2012","11:30","12:50","G","Getting Around: Menus, Scrolling, and Advanced Navigation","Emmanuel Pietriga","INRIA, France","Ballroom G","12:50","","","paper465 paper484 paper1053 paper412"
"204","May 7, 2012","11:30","12:50","H","Teaching with New Interfaces","Leila Takayama","Willow Garage, USA","17AB","12:50","","","paper832 cs191 cs171 paper1274"
"133","May 7, 2012","11:30","12:50","J","Game Experiences","Katherine Isbister","NYU-Poly, USA","18AB","12:50","","","paper481 paper1378 paper1330 paper602"
"136","May 7, 2012","11:30","12:50","K","Eating + Cooking","Wendy Ju","California College of the Arts, USA","18CD","12:50","","","paper808 paper1182 paper1539 paper512"
"139","May 7, 2012","11:30","12:50","L","AI & Machine-Learning & Translation","Tessa Lau","IBM Almaden Research Center, USA","12AB","12:50","","","paper408 paper1174 paper1699 paper1271 paper1121"
"58","May 7, 2012","11:30","12:50","M","Course 2: Evaluating Children's Interactive Products","Janet Read, Panos Markopoulos","","13A","12:50","","","cr150"
"20","May 7, 2012","11:30","12:50","N","SIG: CHI 2011 Management Community","","","13B","12:50","","","si104"
"63","May 7, 2012","11:30","12:50","O","Course 6: Introduction to Research and Design for Sustainability","Daniela Busse, Eli Blevis","","11A","12:50","","","cr142"
"17","May 7, 2012","11:30","12:50","P","SIG: Current Issues in Assessing and Improving Information Usability  ","","","11B","12:50","","","si124"
